datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2021-05-04-11-00-00,,,,
2021-05-04-12-00-00,102071,24086,87738,20098
2021-05-04-13-00-00,,,,
2021-05-04-14-00-00,102392,24117,88023,20136
2021-05-04-15-00-00,,,,
2021-05-04-16-00-00,102782,24165,88350,20182
2021-05-04-17-00-00,,,,
2021-05-04-18-00-00,103297,24259,88816,20266
2021-05-04-19-00-00,,,,
2021-05-04-20-00-00,103702,24332,89161,20326
2021-05-04-21-00-00,,,,
2021-05-04-22-00-00,104555,24422,90054,20420
2021-05-04-23-00-00,,,,
2021-05-05-00-00-00,105402,24499,90698,20482
2021-05-05-01-00-00,,,,
2021-05-05-02-00-00,106330,24606,91422,20577
2021-05-05-03-00-00,,,,
2021-05-05-04-00-00,106528,24654,91598,20614
2021-05-05-05-00-00,,,,
2021-05-05-06-00-00,106631,24670,91679,20628
2021-05-05-07-00-00,,,,
2021-05-05-08-00-00,106827,24691,91842,20650
2021-05-05-09-00-00,,,,
2021-05-05-10-00-00,107219,24741,92202,20692
2021-05-05-11-00-00,,,,
2021-05-05-12-00-00,107504,24797,92521,20735
2021-05-05-13-00-00,,,,
2021-05-05-14-00-00,107765,24830,92759,20766
2021-05-05-15-00-00,,,,
2021-05-05-16-00-00,108131,24877,93086,20820
2021-05-05-17-00-00,,,,
2021-05-05-18-00-00,108520,24940,93438,20870
2021-05-05-19-00-00,,,,
2021-05-05-20-00-00,108956,24994,93812,20921
2021-05-05-21-00-00,,,,
2021-05-05-22-00-00,109716,25064,94471,20985
2021-05-05-23-00-00,,,,
2021-05-06-00-00-00,110821,25136,95266,21059
2021-05-06-01-00-00,,,,
2021-05-06-02-00-00,111694,25227,95996,21148
2021-05-06-03-00-00,,,,
2021-05-06-04-00-00,111853,25252,96142,21176
2021-05-06-05-00-00,,,,
2021-05-06-06-00-00,111931,25268,96200,21184
2021-05-06-07-00-00,,,,
2021-05-06-08-00-00,112139,25285,96394,21199
2021-05-06-09-00-00,,,,
2021-05-06-10-00-00,112463,25325,96684,21228
2021-05-06-11-00-00,,,,
2021-05-06-12-00-00,112644,25350,96834,21249
2021-05-06-13-00-00,,,,
2021-05-06-14-00-00,112857,25367,97066,21272
2021-05-06-15-00-00,,,,
2021-05-06-16-00-00,113036,25405,97238,21295
2021-05-06-17-00-00,,,,
2021-05-06-18-00-00,113237,25435,97397,21318
2021-05-06-19-00-00,,,,
2021-05-06-20-00-00,113543,25460,97640,21346
2021-05-06-21-00-00,,,,
2021-05-06-22-00-00,114222,25505,98233,21395
2021-05-06-23-00-00,,,,
2021-05-07-00-00-00,115173,25580,98967,21461
2021-05-07-01-00-00,,,,
2021-05-07-02-00-00,116154,25690,99736,21570
2021-05-07-03-00-00,,,,
2021-05-07-04-00-00,116321,25720,99912,21602
2021-05-07-05-00-00,,,,
2021-05-07-06-00-00,116408,25729,99987,21611
